lemma,gen,phon,freq_lex_books,freq_lex_subtitles,freq_frcow,last_process_broad,last_process_narrow,prefix,compound,conversion,suffix,suffix_broad,sfx_base,sfx_base_pos,autonomous_base,base_stem_phon,sfx_allomorph,der_stem_phon,edit_distance,pattern,pattern_tf,pattern_rel_tf,base_der_sim,offset_sim
club,m,klœb,21.42,67.51,719915,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coche,m,kɔʃ,1.89,1.23,6713,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cochonne,f,kO.ʃɔn,21.49,31.18,0,simplex,native_simplex,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cockpit,m,kɔk.pit,0.88,1.93,9480,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
code,m,kɔd,15,51.27,830405,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cofondateur,m,kO.fɔ̃.da.tœʁ,0.07,0.29,5897,prefix,prefix,co,0,0,eurM,eurM2,fonder,V,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
coiffure,f,kwa.fyʁ,15.81,10.46,47422,suffix,suffix,0,0,0,ureF,ureF,coiffer,V,TRUE,kwaf,yʁ,kwaf,0,_~_yʁ,28,0.651162790697674,0.455156952142715,0.629408335823243
coin,m,kwɛ̃,199.26,99.51,308097,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coin-coin,m,kwɛ̃.kwɛ̃,0.34,0.19,393,nonconcat,reduplication,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
colis,m,kO.li,10.54,7.5,58157,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
collaboratrice,f,kO.la.bO.ʁa.tʁis,11.49,4.55,8482,suffix,suffix,0,0,0,rice,eurM2,collaborer,V,TRUE,kOlabOʁ,atʁis,kOlabOʁ,0,_~_atʁis,7,0.7,0.357171952724457,0.657025783727145
colle,f,kɔl,9.32,8.11,44334,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
collecteur,m,kO.lEk.tœʁ,1.28,0.87,14321,suffix,suffix,0,0,0,eurM,eurM2,collecter,V,TRUE,kOlɛkt,œʁ,kOlEkt,0,_ɛ_~_E_œʁ,2,0.011363636363636,0.327720940113068,0.400864306828195
collier,m,kO.lje,20,19.91,51223,suffix,suffix,0,0,0,ier,ier,cou,N,TRUE,ku,je,kOl,2,_u~_Olje,1,0.0125,0.665167152881622,0.139157849104641
colombin,m,kO.lɔ̃.bɛ̃,0.61,0.01,403,suffix,suffix,0,0,0,in,in,colombe,N,TRUE,kOlɔ̃b,ɛ̃,kOlɔ̃b,0,_~_ɛ̃,6,0.666666666666667,0.204741567373276,0.161332952999914
colombophile,f,kO.lɔ̃.bO.fil,0.34,0,322,polylexical,neoclassical_compound,0,neoclassical,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
colonialiste,f,kO.lO.nja.list,0.07,0.26,1275,suffix,suffix,0,0,A,iste,iste,colonial,A,TRUE,kOlOnjal,ist,kOlOnjal,0,_~_ist,53,0.56989247311828,0.428578048944473,0.26218813115616
colonialiste,m,kO.lO.nja.list,0.07,0.26,1275,suffix,suffix,0,0,A,iste,iste,colonial,A,TRUE,kOlOnjal,ist,kOlOnjal,0,_~_ist,53,0.56989247311828,0.428578048944473,0.26218813115616
coloris,m,kO.lO.ʁi,1.62,0.39,29785,suffix,suffix,0,0,0,is,is,colorer,V,TRUE,kOlOʁ,i,kOlOʁ,0,_~_i,9,0.9,0.5903000831604,0.413026588614104
coloriste,m,kO.lO.ʁist,0.27,0.16,3001,suffix,suffix,0,0,0,iste,iste,colorer,V,TRUE,kOlOʁ,ist,kOlOʁ,0,_~_ist,53,0.56989247311828,0.415053188800812,0.468126450124563
colporteur,m,kɔl.pɔʁ.tœʁ,1.42,0.53,3305,suffix,suffix,0,0,0,eurM,eurM1,colporter,V,TRUE,kɔlpɔʁt,œʁ,kɔlpɔʁt,0,_~_œʁ,134,0.761363636363636,0.48513799905777,0.53774832855802
colt,m,kɔlt,1.82,0.97,5225,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
combativité,f,kɔ̃.ba.ti.vi.te,0.41,0.28,6799,suffix,suffix,0,0,0,ité,ité,combatif,A,TRUE,kɔ̃bativ,ite,kɔ̃bativ,0,_~_ite,32,0.581818181818182,0.612921178340912,0.73203994336576
combattant,m,kɔ̃.ba.tɑ̃,18.31,6.28,71526,suffix,suffix,0,0,A,ant,ant,combattre,V,TRUE,kɔ̃bat,ɑ̃,kɔ̃bat,0,_~_ɑ̃,38,1,0.306847453117371,0.597163802510995
combe,f,kɔ̃b,4.59,0.07,12207,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
combi,m,kɔ̃.bi,0,0.69,1216,nonconcat,apocope,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
comble,m,kɔ̃bl,27.3,8.56,54264,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
comestible,m,kO.mEs.tibl,0.2,0.11,533,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
comics,m,kO.mik,0.41,0.69,21956,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
comique,f,kO.mik,3.92,5.17,15962,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
commanditaire,f,kO.mɑ̃.di.tɛʁ,1.08,1.02,18784,suffix,suffix,0,0,A,aire,aire,commandite,N,TRUE,kOmɑ̃dit,ɛʁ,kOmɑ̃dit,0,_~_ɛʁ,10,0.303030303030303,0.426257610321045,0.395241430249867
